"URL","Image","Name","Brand","Capacity","Star","Rating","Price","Discount"
"www.flipkart.com/crompton-27-l-tower-air-cooler/p/itma0e2851e27a4a?pid=AICFZ48HVWZS2U3V&lid=LSTAICFZ48HVWZS2U3VR6HD2U&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_177&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICFZ48HVWZS2U3V.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/k5r2mq80/air-cooler/u/3/v/optimus-neo-27-crompton-original-imafzcz4cufuz9g4.jpeg?q=70","CROMPTON 27 L Tower Air Cooler","CROMPTON","27","3.8","692","₹7,759","22% off"
"www.flipkart.com/usha-70-l-desert-air-cooler/p/itmf0aadf4213837?pid=AICEQS6HAW2PHTB9&lid=LSTAICEQS6HAW2PHTB9EIK4RL&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_178&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICEQS6HAW2PHTB9.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/j0zlevk0/air-cooler/e/q/7/cd-703-usha-original-imaer2dyhczrsz5g.jpeg?q=70","USHA 70 L Desert Air Cooler","USHA","70","4","1,979","₹9,998","30% off"
"www.flipkart.com/flipkart-smartbuy-19-l-room-personal-air-cooler/p/itmffnbmh8cj8kbx?pid=AICFFMCVEWSBRHQV&lid=LSTAICFFMCVEWSBRHQVEZRSFA&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_179&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICFFMCVEWSBRHQV.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/jdkjzww0/air-cooler/h/q/v/fksb19leac-flipkart-smartbuy-original-imaf2g3czhmrybgz.jpeg?q=70","Flipkart SmartBuy 19 L Room/Personal Air Cooler","Flipkart","19","3.7","7,991","₹4,799","36% off"
"www.flipkart.com/v-guard-85-l-desert-air-cooler/p/itm175517413dc91?pid=AICFP2N85HTVAHCQ&lid=LSTAICFP2N85HTVAHCQVZ5N11&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_180&otracker=browse&fm=organic&iid=en_56j%2B5gKg02%2BrRFx%2B6XrwXWHapxHBTLJ5W8lgmSSzMWccWTSVj%2B8ch8L6nmCkwqEvvVBQAIMrfBJMhX0BJ8ag3g%3D%3D&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/k6nxrbk0/air-cooler/h/c/q/aikido-f85-v-guard-original-imafp2zzjrqb3cmw.jpeg?q=70","V-Guard 85 L Desert Air Cooler","V-Guard","85","4.5","15","₹12,510","13% off"
"www.flipkart.com/crompton-55-l-desert-air-cooler/p/itmfdgyfzatgadhw?pid=AICEQGBHBDSCSFTC&lid=LSTAICEQGBHBDSCSFTCETDXBA&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_181&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICEQGBHBDSCSFTC.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/kod858w0/air-cooler/p/r/n/acgc-dac-555-crompton-original-imag2u5gczjgrmx3.jpeg?q=70","CROMPTON 55 L Desert Air Cooler","CROMPTON","55","4.2","3,472","₹9,900","37% off"
"www.flipkart.com/kenstar-35-l-tower-air-cooler/p/itmc69043cf0494b?pid=AICFZC4YMKT4E7FG&lid=LSTAICFZC4YMKT4E7FGBCCWLS&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_182&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICFZC4YMKT4E7FG.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/k687wy80/air-cooler/7/f/g/alta-35-kenstar-original-imafzqnymjgabg7g.jpeg?q=70","Kenstar 35 L Tower Air Cooler","Kenstar","35","3.8","354","₹6,980","33% off"
"www.flipkart.com/flipkart-smartbuy-75-l-desert-air-cooler/p/itmfe94c84bf7a15?pid=AICFZHF7SBYHEMHJ&lid=LSTAICFZHF7SBYHEMHJZ5Y8XO&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_183&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICFZHF7SBYHEMHJ.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/kmccosw0/air-cooler/m/9/i/storm-75-75-flipkart-smartbuy-original-imagf9hyhk69nuef.jpeg?q=70","Flipkart SmartBuy 75 L Desert Air Cooler","Flipkart","75","3.9","293","₹8,499","43% off"
"www.flipkart.com/v-guard-70-l-desert-air-cooler/p/itmc5e1338e712cd?pid=AICFP2NFEXZZSYGW&lid=LSTAICFP2NFEXZZSYGW58YKYQ&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_184&otracker=browse&fm=organic&iid=en_56j%2B5gKg02%2BrRFx%2B6XrwXWHapxHBTLJ5W8lgmSSzMWdZMOixVW428fwW%2Bprajl1HUir1tB%2FCQl3Hhp6eubkBdg%3D%3D&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/k6nxrbk0/air-cooler/h/c/q/aikido-f85-v-guard-original-imafp2zzjrqb3cmw.jpeg?q=70","V-Guard 70 L Desert Air Cooler","V-Guard","70","4.3","30","₹10,999","18% off"
"www.flipkart.com/singer-50-l-desert-air-cooler/p/itmequ87ypvazrzq?pid=AICEQU87QYHYJXGA&lid=LSTAICEQU87QYHYJXGAIS4HII&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_185&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICEQU87QYHYJXGA.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/air-cooler/x/g/a/liberty-dc-singer-original-imaequ8svuju7jzq.jpeg?q=70","Singer 50 L Desert Air Cooler","Singer","50","3.6","11","₹7,599","35% off"
"www.flipkart.com/usha-50-l-window-air-cooler/p/itmeqs6hqmx9pyan?pid=AICEQS6HE66DGYAN&lid=LSTAICEQS6HE66DGYAND3OABR&marketplace=FLIPKART&store=j9e%2Fabm%2F52j&srno=b_5_186&otracker=browse&fm=organic&iid=80932e4e-b5ca-4a0a-a718-2080e6e57eab.AICEQS6HE66DGYAN.SEARCH&ppt=None&ppn=None&ssid=iurfaipups0000001639468621827","https://rukminim1.flixcart.com/image/612/612/jge09e80/air-cooler/p/t/p/cw502-usha-original-imaer2dzhh4y7en2.jpeg?q=70","USHA 50 L Window Air Cooler","USHA","50","4.1","143","₹7,849","16% off"
