"URL","Image","Name","Brand","Capacity","Type","Star","Rating","Review","Price","Discount"
"www.flipkart.com/ifb-7-kg-3d-wash-technology-cradlewash-aqua-energie-in-built-heater-fully-automatic-front-load-black-white/p/itm83b58c71b74e2?pid=WMNFVH9HWNQZ3FZN&lid=LSTWMNFVH9HWNQZ3FZNO4EZ3N&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_2_35&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=3873d2e6-f3ef-49e7-bab7-bdafc10ce9b6.WMNFVH9HWNQZ3FZN.SEARCH&ppt=None&ppn=None&ssid=vgc5lkd28g0000001639142949719","https://rukminim1.flixcart.com/image/312/312/ktuewsw0/washing-machine-new/n/g/3/neo-diva-bx-7-kg-ifb-original-imag73cfwnrppd9d.jpeg?q=70","IFB 7 kg 3D Wash Technology, CradleWash, Aqua Energie, In-built heater Fully Automatic Front Load with...","IFB","7","Fully Automatic Front Load","4.3","2,252","214","₹29,490","13%"
"www.flipkart.com/sansui-8-5-kg-semi-automatic-top-load-red-white/p/itm889cd0ba51c3b?pid=WMNG4NTBZ9VQ2WCF&lid=LSTWMNG4NTBZ9VQ2WCFYU7PBN&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_2_36&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=3873d2e6-f3ef-49e7-bab7-bdafc10ce9b6.WMNG4NTBZ9VQ2WCF.SEARCH&ppt=None&ppn=None&ssid=vgc5lkd28g0000001639142949719","https://rukminim1.flixcart.com/image/312/312/kqttg280/washing-machine-new/9/g/3/8-5-sisa85a5r-sansui-original-imag4r2z4jwvyhgn.jpeg?q=70","Sansui 8.5 kg Semi Automatic Top Load Red, White","Sansui","8.5","Semi Automatic Top Load","4.4","2,333","230","₹9,890","38%"
"www.flipkart.com/lg-8-kg-semi-automatic-top-load-maroon-white/p/itmfacf7f4a1049d?pid=WMNG6NQZX2NRMPYA&lid=LSTWMNG6NQZX2NRMPYAXXXAQZ&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_2_37&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=3873d2e6-f3ef-49e7-bab7-bdafc10ce9b6.WMNG6NQZX2NRMPYA.SEARCH&ppt=None&ppn=None&ssid=vgc5lkd28g0000001639142949719","https://rukminim1.flixcart.com/image/312/312/ktaeqvk0/washing-machine-new/y/1/x/8-48-p8035sraz-5-0-25-81-33-lg-98-original-imag6nqzyah4jzb8.jpeg?q=70","LG 8 kg Semi Automatic Top Load Maroon, White","LG","8","Semi Automatic Top Load","4.4","502","30","₹13,290","19%"
"www.flipkart.com/haier-7-kg-5-star-ariel-wash-fully-automatic-top-load-brown-grey/p/itm70c0d26236280?pid=WMNGFHFP4WG4PRVR&lid=LSTWMNGFHFP4WG4PRVRNYV3TD&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_2_38&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=3873d2e6-f3ef-49e7-bab7-bdafc10ce9b6.WMNGFHFP4WG4PRVR.SEARCH&ppt=None&ppn=None&ssid=vgc5lkd28g0000001639142949719","https://rukminim1.flixcart.com/image/312/312/ko382a80/washing-machine-new/n/s/z/7-hwm70-fe-haier-original-imag2m7kft6j5vgm.jpeg?q=70","Haier 7 kg 5 star Ariel Wash Fully Automatic Top Load Brown, Grey","Haier","7","Fully Automatic Top Load","4.3","8,430","825","₹14,990","33%"
"www.flipkart.com/panasonic-6-kg-5-star-aquabeat-wash-fully-automatic-top-load-grey/p/itm909929dc404cc?pid=WMNFSNKN2K2ZAAYH&lid=LSTWMNFSNKN2K2ZAAYHDBW38K&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_2_39&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=3873d2e6-f3ef-49e7-bab7-bdafc10ce9b6.WMNFSNKN2K2ZAAYH.SEARCH&ppt=None&ppn=None&ssid=vgc5lkd28g0000001639142949719","https://rukminim1.flixcart.com/image/312/312/kjrh2fk0/washing-machine-new/a/y/h/6-na-f60lf1hrb-panasonic-original-imafz965adebhf8m.jpeg?q=70","Panasonic 6 kg 5 Star AquaBeat Wash Fully Automatic Top Load Grey","Panasonic","6","Fully Automatic Top Load","4.3","8,280","1,117","₹13,390","19%"
"www.flipkart.com/whirlpool-7-kg-5-star-hard-water-wash-fully-automatic-top-load-grey/p/itm3467d9d1dad5f?pid=WMNFNAYPAYSZGKXV&lid=LSTWMNFNAYPAYSZGKXVWLFKYB&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_2_40&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=3873d2e6-f3ef-49e7-bab7-bdafc10ce9b6.WMNFNAYPAYSZGKXV.SEARCH&ppt=None&ppn=None&ssid=vgc5lkd28g0000001639142949719","https://rukminim1.flixcart.com/image/312/312/k4n2avk0/washing-machine-new/k/x/v/wm-royal-plus-7-0-whirlpool-original-imafnhwmze9vwezn.jpeg?q=70","Whirlpool 7 kg 5 Star, Hard Water wash Fully Automatic Top Load Grey","Whirlpool","7","Fully Automatic Top Load","4.3","11,242","932","₹16,490","15%"
"www.flipkart.com/whirlpool-7-5-kg-fully-automatic-top-load-in-built-heater-grey/p/itm547032bb3b1e6?pid=WMNFYGG24FWPYVHD&lid=LSTWMNFYGG24FWPYVHDVGVRAS&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_2_41&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=3873d2e6-f3ef-49e7-bab7-bdafc10ce9b6.WMNFYGG24FWPYVHD.SEARCH&ppt=None&ppn=None&ssid=vgc5lkd28g0000001639142949719","https://rukminim1.flixcart.com/image/312/312/kmf7ki80/washing-machine-new/g/b/z/sw-ultra-7-5-sc-grey-10ymw-whirlpool-original-imagfbjgzwy8yzam.jpeg?q=70","Whirlpool 7.5 kg Fully Automatic Top Load with In-built Heater Grey","Whirlpool","7.5","Fully Automatic Top Load","4.3","1,433","123","₹19,990","14%"
"www.flipkart.com/realme-techlife-6-5-kg-5-star-rating-fabric-safe-wash-fully-automatic-top-load-grey/p/itmc92ed1d4f80c9?pid=WMNG5MCBAWXWTVGY&lid=LSTWMNG5MCBAWXWTVGYZUTDH5&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_2_42&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=3873d2e6-f3ef-49e7-bab7-bdafc10ce9b6.WMNG5MCBAWXWTVGY.SEARCH&ppt=None&ppn=None&ssid=vgc5lkd28g0000001639142949719","https://rukminim1.flixcart.com/image/312/312/kufuikw0/washing-machine-new/i/e/t/rmfa65a5g-realme-techlife-original-imag7k8d8ctfw7uh.jpeg?q=70","realme TechLife 6.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey","realme","6.5","Fully Automatic Top Load","4.2","2,803","349","₹11,999","27%"
"www.flipkart.com/realme-techlife-7-5-kg-5-star-rating-fabric-safe-wash-fully-automatic-top-load-grey/p/itm048aca1726a71?pid=WMNG4XM5CQTNRQHV&lid=LSTWMNG4XM5CQTNRQHVWOSYMQ&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_2_43&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=3873d2e6-f3ef-49e7-bab7-bdafc10ce9b6.WMNG4XM5CQTNRQHV.SEARCH&ppt=None&ppn=None&ssid=vgc5lkd28g0000001639142949719","https://rukminim1.flixcart.com/image/312/312/kufuikw0/washing-machine-new/a/c/c/rmfa75a5g-realme-techlife-original-imag7k8dp5xfsmg4.jpeg?q=70","realme TechLife 7.5 kg 5 Star Rating Fabric Safe Wash Fully Automatic Top Load Grey","realme","7.5","Fully Automatic Top Load","4.2","2,803","349","₹13,990","30%"
"www.flipkart.com/samsung-7-kg-diamond-drum-feature-fully-automatic-top-load-silver/p/itm45d6cd26e5975?pid=WMNFV6ZYYAEZX6HM&lid=LSTWMNFV6ZYYAEZX6HMNJZL4B&marketplace=FLIPKART&store=j9e%2Fabm%2F8qx&srno=b_2_44&otracker=hp_rich_navigation_1_1.navigationCard.RICH_NAVIGATION_Appliances~Washing%2BMachines~All_MWW5PQN4XAEH&otracker1=hp_rich_navigation_PINNED_neo%2Fmerchandising_NA_NAV_EXPANDABLE_navigationCard_cc_1_L2_view-all&fm=organic&iid=3873d2e6-f3ef-49e7-bab7-bdafc10ce9b6.WMNFV6ZYYAEZX6HM.SEARCH&ppt=None&ppn=None&ssid=vgc5lkd28g0000001639142949719","https://rukminim1.flixcart.com/image/312/312/kevpwnk0/washing-machine-new/6/h/m/wa70a4002gs-tl-samsung-original-imafvgz4pfpe2hht.jpeg?q=70","SAMSUNG 7 kg Diamond Drum feature Fully Automatic Top Load Silver","SAMSUNG","7","Fully Automatic Top Load","4.4","94,896","9,152","₹16,990","14%"
