"URL","Image","Name","Brand","Size","Star","Rating","Review","Price","Discount"
"www.flipkart.com/samsung-crystal-4k-pro-138-cm-55-inch-ultra-hd-4k-led-smart-tv-voice-search/p/itm4525c00d038e4?pid=TVSG2CG7FHDPCQBY&lid=LSTTVSG2CG7FHDPCQBY3OIOJR&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_7_163&otracker=browse&fm=organic&iid=98fe7590-c3e9-431a-9d3b-1d7583f03634.TVSG2CG7FHDPCQBY.SEARCH&ppt=None&ppn=None&ssid=4mfdjz9t1c0000001639416369499","https://rukminim1.flixcart.com/image/312/312/ko1smfk0/television/1/r/d/ua43aue60aklxl-ua43aue60aklxl-samsung-original-imag2hg7b55y8xhs.jpeg?q=70","SAMSUNG Crystal 4K Pro 138 cm (55 inch) Ultra HD (4K) LED Smart TV with Voice Search","SAMSUNG","55 inch","4.4","4,032","518","₹55,990","27%"
"www.flipkart.com/lg-139-cm-55-inch-oled-ultra-hd-4k-smart-tv/p/itm61a2c64a0e98a?pid=TVSFVYXDW85SNXZK&lid=LSTTVSFVYXDW85SNXZK16VTHH&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_7_164&otracker=browse&fm=organic&iid=98fe7590-c3e9-431a-9d3b-1d7583f03634.TVSFVYXDW85SNXZK.SEARCH&ppt=None&ppn=None&ssid=4mfdjz9t1c0000001639416369499","https://rukminim1.flixcart.com/image/312/312/khf63680/television/x/z/k/lg-oled55bxpta-original-imafxf4jurxynqxj.jpeg?q=70","LG 139 cm (55 inch) OLED Ultra HD (4K) Smart TV","LG","55 inch","4.6","187","32","₹1,05,999","51%"
"www.flipkart.com/samsung-108-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itme73203de392f3?pid=TVSFT34KGHDWTFYX&lid=LSTTVSFT34KGHDWTFYX5RSNQD&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_7_165&otracker=browse&fm=organic&iid=98fe7590-c3e9-431a-9d3b-1d7583f03634.TVSFT34KGHDWTFYX.SEARCH&ppt=None&ppn=None&ssid=4mfdjz9t1c0000001639416369499","https://rukminim1.flixcart.com/image/312/312/kfbfr0w0/television/f/y/x/samsung-ua43tu8570uxxl-original-imafvs8ywergnq8w.jpeg?q=70","SAMSUNG 108 cm (43 inch) Ultra HD (4K) LED Smart TV","SAMSUNG","43 inch","4","35","6","₹48,990","19%"
"www.flipkart.com/lg-164-cm-65-inch-ultra-hd-4k-led-smart-tv/p/itmf2b265c94cda6?pid=TVSG3UW3DPNEGQKG&lid=LSTTVSG3UW3DPNEGQKGF6GGXU&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_7_166&otracker=browse&fm=organic&iid=98fe7590-c3e9-431a-9d3b-1d7583f03634.TVSG3UW3DPNEGQKG.SEARCH&ppt=None&ppn=None&ssid=4mfdjz9t1c0000001639416369499","https://rukminim1.flixcart.com/image/312/312/kqse07k0/television/y/0/g/65up7500ptz-65up7500ptz-lg-original-imag4q3zbmruhsfg.jpeg?q=70","LG 164 cm (65 inch) Ultra HD (4K) LED Smart TV","LG","65 inch","4.4","2,572","291","₹84,999","29%"
"www.flipkart.com/panasonic-127-cm-50-inch-ultra-hd-4k-led-smart-android-tv/p/itm699afc68d1d92?pid=TVSFTCFDAKQX2YEY&lid=LSTTVSFTCFDAKQX2YEYJUUGBT&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_7_167&otracker=browse&fm=organic&iid=98fe7590-c3e9-431a-9d3b-1d7583f03634.TVSFTCFDAKQX2YEY.SEARCH&ppt=None&ppn=None&ssid=4mfdjz9t1c0000001639416369499","https://rukminim1.flixcart.com/image/312/312/keuagsw0/television/y/e/y/panasonic-th-50hx450dx-th-50hx450dx-original-imafvf3sbzgzygu2.jpeg?q=70","Panasonic 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV","Panasonic","50 inch","4.2","1,310","194","₹37,999","11%"
"www.flipkart.com/lg-109-22-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itm244bba09e0ce1?pid=TVSG5H8FTNYZFHZU&lid=LSTTVSG5H8FTNYZFHZUUGUMIV&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_7_168&otracker=browse&fm=organic&iid=98fe7590-c3e9-431a-9d3b-1d7583f03634.TVSG5H8FTNYZFHZU.SEARCH&ppt=None&ppn=None&ssid=4mfdjz9t1c0000001639416369499","https://rukminim1.flixcart.com/image/312/312/ksc46fk0/television/9/x/l/43up7740ptz-lg-original-imag5xcvsvyurgcv.jpeg?q=70","LG 109.22 cm (43 inch) Ultra HD (4K) LED Smart TV","LG","43 inch","4.5","4","0","₹41,150","31%"
"www.flipkart.com/lg-81-28-cm-32-inch-full-hd-led-smart-tv/p/itmcc3ae6378cc74?pid=TVSG8X99YTVYC9NH&lid=LSTTVSG8X99YTVYC9NHAURVAF&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_169&otracker=browse&fm=organic&iid=d183ec7e-1b69-4627-a2f3-87ee44c24bd9.TVSG8X99YTVYC9NH.SEARCH&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/kw6pw280/television/1/n/b/32lm6360ptb-32lm6360ptb-lg-original-imag8x99zcmx7bes.jpeg?q=70","LG 81.28 cm (32 inch) Full HD LED Smart TV","LG","32 inch","NULL","NULL","NULL","₹27,459","21%"
"www.flipkart.com/lg-109-22-cm-43-inch-ultra-hd-4k-led-smart-tv/p/itm5072861d78afa?pid=TVSG5H8FVXBHZQUJ&lid=LSTTVSG5H8FVXBHZQUJ4DD6NY&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_170&otracker=browse&fm=organic&iid=d183ec7e-1b69-4627-a2f3-87ee44c24bd9.TVSG5H8FVXBHZQUJ.SEARCH&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/ktg4ia80/television/r/p/f/43up7550ptz-43up7550ptz-lg-original-imag6sjyvzzfgzq8.jpeg?q=70","LG 109.22 cm (43 inch) Ultra HD (4K) LED Smart TV","LG","43 inch","NULL","NULL","NULL","₹41,999","27%"
"www.flipkart.com/samsung-frame-2021-series-138-cm-55-inch-qled-ultra-hd-4k-smart-tv/p/itm6bbc1dfdf8f23?pid=TVSG2G2VAEDW5YBC&lid=LSTTVSG2G2VAEDW5YBC9PD1IW&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_171&otracker=browse&fm=organic&iid=d183ec7e-1b69-4627-a2f3-87ee44c24bd9.TVSG2G2VAEDW5YBC.SEARCH&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/kpmy8i80/television/j/g/y/qa50ls03aaklxl-samsung-original-imag3tkrjpkzgv7t.jpeg?q=70","SAMSUNG The Frame 2021 Series 138 cm (55 inch) QLED Ultra HD (4K) Smart TV","SAMSUNG","55 inch","4.2","721","112","₹89,890","37%"
"www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tv/p/itm6e40262f4572a?pid=TVSFQXFKMHUDYCJ3&lid=LSTTVSFQXFKMHUDYCJ3IOJXHJ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_8_172&otracker=browse&fm=organic&iid=en_Tj1NkBuBvAH2bEUprMPf1qGWdBg6RnbCdvW4EQcatSy%2FIzArJaEd%2BHMsKbODqPh1cakq%2FIyXVqXyxLp%2BPnIDWA%3D%3D&ppt=None&ppn=None&ssid=lvz7o4e1c00000001639416370394","https://rukminim1.flixcart.com/image/312/312/kbs9k7k0/television/c/j/3/samsung-ua32t4340akxxl-original-imaft25qdysfsq7k.jpeg?q=70","SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV","SAMSUNG","32 inch","4.4","44,177","4,060","₹17,999","9%"
