"URL","Image","Name","Brand","Size","Star","Rating","Review","Price","Discount"
"www.flipkart.com/kodak-7x-pro-102-cm-40-inch-full-hd-led-smart-android-tv/p/itm0cbb531e03a75?pid=TVSFVFFAVBZACXPJ&lid=LSTTVSFVFFAVBZACXPJWIXBSJ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_4_75&otracker=browse&fm=organic&iid=a0eb37d6-4c81-4f70-a8db-ab9905eb060f.TVSFVFFAVBZACXPJ.SEARCH&ppt=None&ppn=None&ssid=bdl41dpcq80000001639409690821","https://rukminim1.flixcart.com/image/312/312/kjiwfbk0-0/television/t/3/l/40fhdx7xpro-kodak-original-imafz2zfvujgdwag.jpeg?q=70","KODAK 7X Pro 102 cm (40 inch) Full HD LED Smart Android TV","KODAK","40 inch","4.5","22,759","5,526","₹19,499","7%"
"www.flipkart.com/samsung-80-cm-32-inch-hd-ready-led-smart-tv/p/itm6e40262f4572a?pid=TVSFQXFKMHUDYCJ3&lid=LSTTVSFQXFKMHUDYCJ3IOJXHJ&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_4_76&otracker=browse&fm=organic&iid=en_oRg%2BG91utrWIaNz06mWdM3Or2A2mQhfo%2F1DZK%2BmjfyM7omEdO3tJq1lRhU4SI8rRcakq%2FIyXVqXyxLp%2BPnIDWA%3D%3D&ppt=None&ppn=None&ssid=bdl41dpcq80000001639409690821","https://rukminim1.flixcart.com/image/312/312/kbs9k7k0/television/c/j/3/samsung-ua32t4340akxxl-original-imaft25qdysfsq7k.jpeg?q=70","SAMSUNG 80 cm (32 inch) HD Ready LED Smart TV","SAMSUNG","32 inch","4.4","44,177","4,060","₹17,999","9%"
"www.flipkart.com/mi-4a-100-cm-40-inch-full-hd-led-smart-android-tv/p/itmaaa9224388773?pid=TVSFJRFFJVY3HG5R&lid=LSTTVSFJRFFJVY3HG5RFBHWCP&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_4_77&otracker=browse&fm=organic&iid=a0eb37d6-4c81-4f70-a8db-ab9905eb060f.TVSFJRFFJVY3HG5R.SEARCH&ppt=None&ppn=None&ssid=bdl41dpcq80000001639409690821","https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/v/z/2/l40m5-5ain-mi-original-imag4968yrvft7qd.jpeg?q=70","Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV","Mi","40 inch","4.4","6,49,063","66,129","₹23,999","4%"
"www.flipkart.com/acer-p-series-105-cm-42-inch-full-hd-led-smart-android-tv/p/itmdee2baab974a6?pid=TVSG4Q3FZDJDPJGT&lid=LSTTVSG4Q3FZDJDPJGT3VORVB&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_4_78&otracker=browse&fm=organic&iid=a0eb37d6-4c81-4f70-a8db-ab9905eb060f.TVSG4Q3FZDJDPJGT.SEARCH&ppt=None&ppn=None&ssid=bdl41dpcq80000001639409690821","https://rukminim1.flixcart.com/image/312/312/kwqq1zk0/television/h/i/q/-original-imag9cnmc7eyuagq.jpeg?q=70","acer P Series 105 cm (42 inch) Full HD LED Smart Android TV","acer","42 inch","4.4","589","92","₹23,999","19%"
"www.flipkart.com/tcl-p615-126-cm-50-inch-ultra-hd-4k-led-smart-tv-dolby-audio/p/itm9a673fef3dda3?pid=TVSFZFHKPHUZBFGG&lid=LSTTVSFZFHKPHUZBFGGTXIJYS&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_4_79&otracker=browse&fm=organic&iid=a0eb37d6-4c81-4f70-a8db-ab9905eb060f.TVSFZFHKPHUZBFGG.SEARCH&ppt=None&ppn=None&ssid=bdl41dpcq80000001639409690821","https://rukminim1.flixcart.com/image/312/312/kmuxevk0/television/r/z/d/50p615-tcl-original-imagfz6wb88de7te.jpeg?q=70","TCL P615 126 cm (50 inch) Ultra HD (4K) LED Smart TV with Dolby Audio","TCL","50 inch","4.4","356","31","₹35,999","42%"
"www.flipkart.com/candes-60-cm-24-inch-hd-ready-led-smart-android-tv/p/itm5181c614939f7?pid=TVSG5EJ7GGMZHBXC&lid=LSTTVSG5EJ7GGMZHBXCHE1VG8&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_4_80&otracker=browse&fm=organic&iid=en_oRg%2BG91utrWIaNz06mWdM3Or2A2mQhfo%2F1DZK%2BmjfyO2V1KJUK%2BW0SSrmFNqgWabVMqbLL7LyJi6Nn2U7yp9LQ%3D%3D&ppt=None&ppn=None&ssid=bdl41dpcq80000001639409690821","https://rukminim1.flixcart.com/image/312/312/krntoy80/television/m/x/z/f24s001-frameless-tv-candes-original-imag5egz5rddvkbh.jpeg?q=70","Candes 60 cm (24 inch) HD Ready LED Smart Android TV","Candes","24 inch","4","180","30","₹9,999","44%"
"www.flipkart.com/nokia-109-cm-43-inch-full-hd-led-smart-android-tv-sound-jbl-powered-harman-audioefx/p/itm9f8065a4fd2ff?pid=TVSG3TTM2MWRSYZY&lid=LSTTVSG3TTM2MWRSYZYH3VH6G&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_4_81&otracker=browse&fm=organic&iid=a0eb37d6-4c81-4f70-a8db-ab9905eb060f.TVSG3TTM2MWRSYZY.SEARCH&ppt=None&ppn=None&ssid=bdl41dpcq80000001639409690821","https://rukminim1.flixcart.com/image/312/312/ku1k4280/television/8/0/m/43fhdadndt52x-nokia-original-imag79br6j2gp6yf.jpeg?q=70","Nokia 109 cm (43 inch) Full HD LED Smart Android TV with Sound by JBL and Powered by Harman AudioEFX","Nokia","43 inch","4.4","1,424","266","₹29,999","28%"
"www.flipkart.com/philips-8200-series-126-cm-50-inch-ultra-hd-4k-led-smart-android-tv/p/itmf232f507228b2?pid=TVSG3SKMUDZGEGTU&lid=LSTTVSG3SKMUDZGEGTU050DIX&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_4_82&otracker=browse&fm=organic&iid=a0eb37d6-4c81-4f70-a8db-ab9905eb060f.TVSG3SKMUDZGEGTU.SEARCH&ppt=None&ppn=None&ssid=bdl41dpcq80000001639409690821","https://rukminim1.flixcart.com/image/312/312/kqidx8w0/television/j/s/o/50put8215-94-philips-original-imag4gb5vkhsj8fk.jpeg?q=70","PHILIPS 8200 Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV","PHILIPS","50 inch","4.2","107","14","₹44,999","43%"
"www.flipkart.com/mi-q1-138-8-cm-55-inch-qled-ultra-hd-4k-smart-android-tv/p/itm3d2e089a2a3b9?pid=TVSFY7DXZYRHJUYJ&lid=LSTTVSFY7DXZYRHJUYJ11UL9F&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_4_83&otracker=browse&fm=organic&iid=a0eb37d6-4c81-4f70-a8db-ab9905eb060f.TVSFY7DXZYRHJUYJ.SEARCH&ppt=None&ppn=None&ssid=bdl41dpcq80000001639409690821","https://rukminim1.flixcart.com/image/312/312/kkoc70w0/television/o/x/j/l55m6-eqg-mi-original-imafzyrjdtba6bqf.jpeg?q=70","Mi Q1 138.8 cm (55 inch) QLED Ultra HD (4K) Smart Android TV","Mi","55 inch","4.4","3,870","542","₹59,999","NULL"
"www.flipkart.com/dyanora-100-cm-40-inch-hd-ready-led-smart-tv/p/itmb21cf35f992f4?pid=TVSG4YVQVKHB6MXD&lid=LSTTVSG4YVQVKHB6MXD5IUC3L&marketplace=FLIPKART&store=ckf%2Fczl&srno=b_4_84&otracker=browse&fm=organic&iid=en_oRg%2BG91utrWIaNz06mWdM3Or2A2mQhfo%2F1DZK%2BmjfyMbq7pgTA%2B7DzvTtmHRN3os8RJXx2tWyPxbGHOYtyIu1w%3D%3D&ppt=None&ppn=None&ssid=bdl41dpcq80000001639409690821","https://rukminim1.flixcart.com/image/312/312/ktyp8cw0/television/r/h/1/dy-ld40h3s-dy-ld40h3s-dyanora-original-imag76pj6w2r3vtv.jpeg?q=70","Dyanora 100 cm (40 inch) HD Ready LED Smart TV","Dyanora","40 inch","4.1","99","7","₹15,499","35%"
