"URL","Image","Name","Brand","Capacity","Star","Rating","Review","Price","Discount"
"www.flipkart.com/csi-international-1-l-instant-water-geyser-1l-portable-heater-shock-proof-body-installation-kit-red/p/itm7b9505744dd44?pid=WGYFN5S2HAWUUDQX&lid=LSTWGYFN5S2HAWUUDQXCDOBOO&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_11&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFN5S2HAWUUDQX.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/k47cgi80/water-geyser/d/q/x/1l-instant-water-portable-heater-geyser-shock-proof-body-with-original-imafn5xktwufkkzx.jpeg?q=70","CSI INTERNATIONAL 1 L Instant Water Geyser (1L INSTANT WATER PORTABLE HEATER GEYSER SHOCK PROOF BODY W...","CSI","1","4","2,017","265","₹999","66%"
"www.flipkart.com/havells-15-l-storage-water-geyser-instanio-prime-white-blue/p/itmb5de30a69102d?pid=WGYFT4CA5QDRVM3T&lid=LSTWGYFT4CA5QDRVM3TFA8X4B&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_12&otracker=browse&fm=organic&iid=en_SNdppMs6CmcAABoPeuqNkpo6kHhRpfJpLYzksw%2BnOIBQQqJKJIkeYAjNTtFvvKpmbSqLi4kAvBIaGysqVFS%2Fuw%3D%3D&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/kddf6a80/water-geyser/m/3/t/instanio-prime-3000-havells-15-original-imafua9vrycxcg4h.jpeg?q=70","HAVELLS 15 L Storage Water Geyser (Instanio Prime, White & Blue)","HAVELLS","15","4.2","4,923","484","₹7,699","37%"
"www.flipkart.com/hindware-15-l-storage-water-geyser-acero-neo-white/p/itm92c5559b43aac?pid=WGYFGV8JJY6XR3RG&lid=LSTWGYFGV8JJY6XR3RGTYTLQ2&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_13&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFGV8JJY6XR3RG.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/k0e66q80/water-geyser/3/r/g/hs15mdw20sb1-swh1501d-2000-hindware-15-original-imafk6zkjcgfb5hc.jpeg?q=70","Hindware 15 L Storage Water Geyser (ACERO NEO, White)","Hindware","15","4.1","12,370","1,377","₹5,199","21%"
"www.flipkart.com/orient-electric-25-l-storage-water-geyser-cronos-white/p/itm41d2e6af20c09?pid=WGYFTC9Z7ZVPBGSF&lid=LSTWGYFTC9Z7ZVPBGSFCFCEP1&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_14&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFTC9Z7ZVPBGSF.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/kwcfngw0/water-geyser/u/h/y/-original-imag9f9sz4ezvy3f.jpeg?q=70","Orient Electric 25 L Storage Water Geyser (Cronos, White)","Orient","25","4.2","8,028","841","₹6,149","21%"
"www.flipkart.com/candes-25-l-storage-water-geyser-perfecto-ivory/p/itm588c90f1c4e3a?pid=WGYFKA9HQZNWZ9PY&lid=LSTWGYFKA9HQZNWZ9PYL9A4E3&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_15&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYFKA9HQZNWZ9PY.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/ksdjma80/water-geyser/1/a/o/2019-10l-metal-storage-water-geyser-2000-candes-10-original-imag5yjbcjzz43yf.jpeg?q=70","Candes 25 L Storage Water Geyser (Perfecto, Ivory)","Candes","25","4.2","2,784","433","₹4,199","50%"
"www.flipkart.com/havells-15-l-storage-water-geyser-adonia-r-white/p/itmae8babb5d57cb?pid=WGYFKJSQYFJYKZND&lid=LSTWGYFKJSQYFJYKZNDXHJIH2&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_16&otracker=browse&fm=organic&iid=en_SNdppMs6CmcAABoPeuqNkpo6kHhRpfJpLYzksw%2BnOIA8euJ%2FBIJ5qtXMnjfo3gj4sfVaISbt0OASzr%2F3zwW8iQ%3D%3D&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/kddf6a80/water-geyser/m/z/c/adonia-r-25-2000-havells-25-original-imafua9vytzg4ywe.jpeg?q=70","HAVELLS 15 L Storage Water Geyser (ADONIA R, White)","HAVELLS","15","4.4","1,901","257","₹13,770","29%"
"www.flipkart.com/orient-electric-5-l-instant-water-geyser-calidus-multicolor/p/itm12b4f8e567a5a?pid=WGYG6HS7GCAXZ7U6&lid=LSTWGYG6HS7GCAXZ7U6NPDSR6&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_17&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYG6HS7GCAXZ7U6.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/ktuewsw0/water-geyser/c/g/c/calidus-orient-electric-original-imag73h9nxpz4z4s.jpeg?q=70","Orient Electric 5 L Instant Water Geyser (Calidus, Multicolor)","Orient","5","4.1","1,299","95","₹3,599","44%"
"www.flipkart.com/havells-5-l-instant-water-geyser-carlo-white/p/itmaf27f773198f7?pid=WGYG6E7FZ9WPV6MM&lid=LSTWGYG6E7FZ9WPV6MMASJEKF&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_18&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYG6E7FZ9WPV6MM.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/kt1u3rk0/water-geyser/p/s/h/2021-carlo-3000-havells-5-original-imag6h82ryeu4tvk.jpeg?q=70","HAVELLS 5 L Instant Water Geyser (Carlo, White)","HAVELLS","5","4.2","2,493","179","₹4,999","47%"
"www.flipkart.com/activa-25-l-storage-water-geyser-hotline-5-star-ivory/p/itm8fd3b48e11eea?pid=WGYENAUCNJGS5YZR&lid=LSTWGYENAUCNJGS5YZRZ611WY&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_19&otracker=browse&fm=organic&iid=8360a4a6-c91a-4330-ba24-7fbb6250f3a6.WGYENAUCNJGS5YZR.SEARCH&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/kr6oeq80/water-geyser/w/l/y/hotline-5-star-activa-original-imag5fyhadbhaftf.jpeg?q=70","Activa 25 L Storage Water Geyser (HOTLINE 5 STAR, IVORY)","Activa","25","4.2","1,802","484","₹4,189","40%"
"www.flipkart.com/havells-25-l-storage-water-geyser-instanio-prime-white-mustard/p/itm9bae5814a9936?pid=WGYFT4CANJ5YHRBG&lid=LSTWGYFT4CANJ5YHRBGXYR1UE&marketplace=FLIPKART&store=j9e%2Fabm%2Fbfm&srno=b_1_20&otracker=browse&fm=organic&iid=en_SNdppMs6CmcAABoPeuqNkpo6kHhRpfJpLYzksw%2BnOIC7jAk3Xxl3AZ0tBinjtzHHMiue25%2Bwz7RM53aLziTGkQ%3D%3D&ppt=None&ppn=None&ssid=q13fqff0xc0000001639414520170","https://rukminim1.flixcart.com/image/312/312/kddf6a80/water-geyser/h/u/h/instanio-prime-3000-havells-15-original-imafua9vdpvxxbvp.jpeg?q=70","HAVELLS 25 L Storage Water Geyser (Instanio Prime, White & Mustard)","HAVELLS","25","4.2","4,923","484","₹8,499","38%"
